Dates,Betafolio 0,Betafolio 10,Betafolio 20,Betafolio 30,Betafolio 40,Betafolio 50,Betafolio 60,Betafolio 70,Betafolio 80,Betafolio 90,Betafolio 100,Inflation
01/03/1918,-0.002134054,-0.002554061,-0.002974753,-0.00339476,-0.003814767,-0.004235459,-0.004654782,-0.005075474,-0.005492754,-0.005915489,-0.00633618,0
01/04/1918,0.007671809,0.007456246,0.007238363,0.0070228,0.006807238,0.006589354,0.006376113,0.006158229,0.005939675,0.005727104,0.00550922,0
01/05/1918,0.038088971,0.035315165,0.032544018,0.029770212,0.026996407,0.02422526,0.021448795,0.018677648,0.015904419,0.013130037,0.01035889,0.026315789
01/06/1918,0.011094464,0.010751286,0.01040892,0.010065741,0.009722562,0.009380197,0.009036205,0.008693839,0.008350397,0.008007481,0.007665116,0.025641026
01/07/1918,0.020699962,0.018910565,0.017122765,0.015333369,0.013543972,0.011756172,0.009965179,0.008177379,0.006389916,0.004598585,0.002810785,0
01/08/1918,0.030972439,0.029539999,0.028111211,0.02667877,0.02524633,0.023817542,0.02238145,0.020952662,0.01951963,0.018087781,0.016658993,0.05
01/09/1918,0.014910573,0.013421433,0.011929462,0.010440322,0.008951182,0.00745921,0.005972902,0.00448093,0.002990193,0.00150265,1.07E-05,0
01/10/1918,0.033437451,0.03230348,0.031168896,0.030034926,0.028900956,0.027766371,0.026633015,0.025498431,0.024358003,0.023230491,0.022095906,0.023809524
01/11/1918,-0.003822163,-0.002910801,-0.00199854,-0.001087178,-0.000175816,0.000736446,0.001646908,0.00255917,0.00347083,0.004381894,0.005294155,0.023255814
01/12/1918,-0.004205269,-0.003244713,-0.002284654,-0.001324097,-0.000363541,0.000596518,0.001557572,0.002517632,0.003477198,0.004438745,0.005398804,0
01/01/1919,-0.000810122,-0.001281609,-0.001753495,-0.002224982,-0.002696469,-0.003168355,-0.003639443,-0.004111329,-0.004583098,-0.005054303,-0.005526189,0
01/02/1919,0.000162908,0.000299975,0.00043762,0.000574687,0.000711755,0.000849399,0.000985889,0.001123534,0.001259032,0.001397668,0.001535313,-0.022292994
01/03/1919,-0.00091741,0.001364194,0.003652299,0.005933903,0.008215507,0.010503612,0.012778715,0.01506682,0.017357659,0.019630028,0.021918133,-0.023615635
01/04/1919,-0.005368501,-0.005234084,-0.005099467,-0.00496505,-0.004830634,-0.004696016,-0.004561802,-0.004427184,-0.004297816,-0.004158351,-0.004023734,-0.023352794
01/05/1919,-0.010751097,-0.00835509,-0.005960189,-0.003564182,-0.001168175,0.001226726,0.003623839,0.00601874,0.00840941,0.010810754,0.013205656,0
01/06/1919,0.008626307,0.006957474,0.005292706,0.003623872,0.001955039,0.000290271,-0.001382628,-0.003047395,-0.004708494,-0.006385062,-0.00804983,0.009393681
01/07/1919,-0.025179491,-0.017994182,-0.010807285,-0.003621977,0.003563332,0.010750229,0.017933948,0.025120846,0.032307032,0.039491462,0.04667836,0.03891709
01/08/1919,0.027794419,0.0261102,0.024430468,0.022746249,0.021062029,0.019382297,0.01769359,0.016013858,0.014339923,0.01264542,0.010965688,0
01/09/1919,0.057662151,0.051987542,0.046322985,0.040648376,0.034973767,0.02930921,0.023624549,0.017959992,0.012294846,0.006610774,0.000946217,0.022801303
01/10/1919,-0.004813625,-0.002058163,0.000693142,0.003448604,0.006204067,0.008955372,0.011714992,0.014466297,0.017210148,0.019977222,0.022728526,-0.00477707
01/11/1919,0.019914886,0.019933899,0.019957719,0.019976732,0.019995745,0.020019565,0.02003377,0.020057591,0.020085383,0.020095616,0.020119437,0
01/12/1919,0.047057369,0.047036262,0.047020507,0.0469994,0.046978294,0.046962539,0.04693608,0.046920325,0.04690743,0.046878111,0.046862357,0.016
01/01/1920,-0.028730742,-0.022094223,-0.015456683,-0.008820165,-0.002183647,0.004453893,0.01108939,0.01772693,0.024367385,0.030999967,0.037637507,0.032283465
01/02/1920,0.023427818,0.021025911,0.018625162,0.016223254,0.013821347,0.011420598,0.009017532,0.006616783,0.004219889,0.001812968,-0.000587781,0.001525553
01/03/1920,-0.055124683,-0.060111269,-0.065096196,-0.070082782,-0.075069368,-0.080054295,-0.085042541,-0.090027467,-0.095021327,-0.10000064,-0.104985566,0.009139375
01/04/1920,-0.010485512,-0.010976025,-0.011471367,-0.011961881,-0.012452394,-0.012947736,-0.013433421,-0.013928763,-0.014421923,-0.01490979,-0.015405132,0.038490566
01/05/1920,-0.021452359,-0.021641449,-0.021836937,-0.022026028,-0.022215119,-0.022410606,-0.0225933,-0.022788788,-0.022986057,-0.02316697,-0.023362457,0.037790698
01/06/1920,-0.064792425,-0.061009883,-0.057235531,-0.05345299,-0.049670449,-0.045896097,-0.042105366,-0.038331014,-0.034559462,-0.030765931,-0.026991579,0.007703081
01/07/1920,0.013015494,0.014887675,0.016763407,0.018635588,0.020507769,0.0223835,0.024252131,0.026127862,0.028005109,0.029872225,0.031747956,0.01181376
01/08/1920,-0.026033642,-0.021018618,-0.016006892,-0.010991868,-0.005976844,-0.000965118,0.004053205,0.009064931,0.01407646,0.019094979,0.024106705,0.023351648
01/09/1920,0.020472032,0.019046821,0.017623651,0.01619844,0.01477323,0.01335006,0.011922808,0.010499638,0.009076218,0.007649217,0.006226047,0.011409396
01/10/1920,-0.034371761,-0.030855006,-0.027342011,-0.023825256,-0.020308501,-0.016795506,-0.013274991,-0.009761996,-0.006253161,-0.002728486,0.00078451,0.02189781
01/11/1920,-0.023653286,-0.024697437,-0.025740365,-0.026784516,-0.027828667,-0.028871595,-0.029916969,-0.030959897,-0.032001838,-0.033048199,-0.034091127,-0.025974026
01/12/1920,-0.024117075,-0.024949448,-0.025789977,-0.026622349,-0.027454721,-0.028295251,-0.029119465,-0.029959995,-0.030799705,-0.031624739,-0.032465268,-0.006666667
01/01/1921,0.036852511,0.028730557,0.020600304,0.01247835,0.004356396,-0.003773857,-0.011887513,-0.020017766,-0.028154362,-0.036261674,-0.044391927,-0.038255034
01/02/1921,-0.065948191,-0.059611059,-0.053277298,-0.046940166,-0.040603035,-0.034269273,-0.027928771,-0.02159501,-0.01525884,-0.008920747,-0.002586985,-0.039776692
01/03/1921,0.034516482,0.031565177,0.028610497,0.025659192,0.022707887,0.019753207,0.016805278,0.013850598,0.010893554,0.007947989,0.004993308,-0.033430233
01/04/1921,0.001571092,0.0025601,0.003550389,0.004539397,0.005528405,0.006518695,0.007506421,0.008496711,0.00948427,0.010474727,0.011465017,-0.021052632
01/05/1921,0.007695744,0.009725911,0.011762377,0.013792544,0.015822712,0.017859177,0.019883047,0.021919512,0.023957927,0.025979847,0.028016312,-0.039170507
01/06/1921,0.027041469,0.026912524,0.026781103,0.026652158,0.026523213,0.026391792,0.026265323,0.026133902,0.02600941,0.025876013,0.025744591,0
01/07/1921,0.017229158,0.020458439,0.023690756,0.026920037,0.030149318,0.033381635,0.03660788,0.039840198,0.043073974,0.04629876,0.049531077,0.013589129
01/08/1921,0.00444799,0.001295567,-0.001855664,-0.005008086,-0.008160508,-0.01131174,-0.014465353,-0.017616584,-0.020768453,-0.023921428,-0.02707266,-0.009463722
01/09/1921,0.039967925,0.037093655,0.034220798,0.031346528,0.028472259,0.025599401,0.02272372,0.019850862,0.016977729,0.014102323,0.011229466,-0.045382166
01/10/1921,-0.02954522,-0.028926054,-0.028311706,-0.027692541,-0.027073376,-0.026459028,-0.025835045,-0.025220697,-0.024610904,-0.023982367,-0.023368019,-0.057547957
01/11/1921,-0.001537045,-0.000935329,-0.000334227,0.000267489,0.000869206,0.001470307,0.002072639,0.00267374,0.003271978,0.003877173,0.004478275,-0.017699115
01/12/1921,0.014306445,0.010366132,0.006421748,0.002481435,-0.001458877,-0.005403262,-0.009339503,-0.013283887,-0.017231971,-0.021164513,-0.025108897,-0.027027027
01/01/1922,0.011025548,0.010620138,0.01021265,0.009807239,0.009401828,0.00899434,0.008591007,0.008183519,0.007775557,0.007372698,0.00696521,-0.005555556
01/02/1922,0.025833788,0.023180734,0.020520633,0.01786758,0.015214526,0.012554425,0.009908418,0.007248318,0.004583158,0.00194221,-0.00071789,-0.011173184
01/03/1922,0.028617185,0.030307849,0.031997664,0.033688327,0.03537899,0.037068806,0.038760317,0.040450132,0.04213418,0.043831459,0.045521274,-0.02165725
01/04/1922,0.040915536,0.039403623,0.037891767,0.036379853,0.034867939,0.033356083,0.031844112,0.030332256,0.028814404,0.027308429,0.025796573,-0.00481232
01/05/1922,0.010065861,0.010957697,0.011854334,0.01274617,0.013638007,0.014534644,0.015421679,0.016318316,0.017212713,0.018101989,0.018998626,-0.005802708
01/06/1922,-0.008401321,-0.006795231,-0.005191074,-0.003584983,-0.001978893,-0.000374736,0.001233288,0.002837445,0.004447856,0.006049626,0.007653783,0.022373541
01/07/1922,0.012692084,0.012823436,0.012952426,0.013083778,0.013215131,0.013344121,0.013477836,0.013606826,0.013734784,0.013869531,0.01399852,-0.016175071
01/08/1922,-0.012168258,-0.009246138,-0.006322014,-0.003399895,-0.000477775,0.002446349,0.005366465,0.008290589,0.01121309,0.014134828,0.017058952,-0.011605416
01/09/1922,-0.001894966,-0.000384334,0.00112668,0.002637312,0.004147945,0.005658959,0.007169209,0.008680223,0.010198973,0.011701488,0.013212502,-0.005870841
01/10/1922,-0.013069934,-0.011734853,-0.010403396,-0.009068315,-0.007733234,-0.006401776,-0.005063072,-0.003731614,-0.002400358,-0.001061453,0.000270005,-0.015748031
01/11/1922,0.006574198,0.005948798,0.005325042,0.004699642,0.004074242,0.003450486,0.002823442,0.002199686,0.001578039,0.000948886,0.00032513,0
01/12/1922,-0.011521396,-0.011016555,-0.010512799,-0.010007958,-0.009503117,-0.008999361,-0.008493436,-0.007989679,-0.007486874,-0.006979998,-0.006476242,1.37E-16
01/01/1923,0.02964335,0.027521613,0.025404001,0.023282265,0.021160529,0.019042917,0.016917056,0.014799444,0.012680275,0.010555971,0.008438359,0.011
01/02/1923,0.003227815,0.003470709,0.003708394,0.003951288,0.004194181,0.004431867,0.004679968,0.004917654,0.005150516,0.005403441,0.005641127,-0.005934718
01/03/1923,0.02914672,0.027044671,0.024942091,0.022840041,0.020737992,0.018635412,0.016533893,0.014431313,0.012329105,0.010227214,0.008124634,-0.010945274
01/04/1923,0.019196219,0.018302694,0.017412161,0.016518635,0.015625109,0.014734576,0.013838057,0.012947525,0.012057786,0.011160473,0.01026994,-0.023138833
01/05/1923,0.006467921,0.005606451,0.004745521,0.00388405,0.00302258,0.00216165,0.001299639,0.000438709,-0.000419554,-0.001284232,-0.002145162,-0.006179197
01/06/1923,-0.003244438,-0.002985316,-0.002726034,-0.002466912,-0.00220779,-0.001948508,-0.001689546,-0.001430264,-0.001166304,-0.00091202,-0.000652738,0
01/07/1923,-0.003635392,-0.003053465,-0.002471763,-0.001889836,-0.001307909,-0.000726207,-0.000144055,0.000437647,0.001020619,0.001601501,0.002183202,0.011398964
01/08/1923,0.006470972,0.006569568,0.006667531,0.006766126,0.006864721,0.006962685,0.007061912,0.007159875,0.007257964,0.007357065,0.007455029,0.012295082
01/09/1923,0.004367501,0.004062104,0.003757469,0.003452072,0.003146675,0.002842041,0.002535881,0.002231247,0.001927477,0.001620453,0.001315819,0.011133603
01/10/1923,0.014346728,0.01427629,0.014208838,0.0141384,0.014067962,0.01400051,0.013927086,0.013859634,0.013793174,0.013718758,0.013651306,-0.029029029
01/11/1923,0.010326091,0.013401193,0.016478811,0.019553913,0.022629015,0.025706633,0.028779218,0.031856836,0.03493331,0.03800704,0.041084658,0.020618557
01/12/1923,-0.016256202,-0.013763735,-0.011269453,-0.008776985,-0.006284517,-0.003790235,-0.001299582,0.0011947,0.003688136,0.006179635,0.008673918,0.01010101
01/01/1924,0.000519232,0.003299201,0.006075194,0.008855163,0.011635132,0.014411125,0.01719507,0.019971063,0.022747139,0.025531001,0.028306994,0.022
01/02/1924,-0.008154518,-0.006314458,-0.004473647,-0.002633587,-0.000793527,0.001047283,0.002886593,0.004727404,0.00656886,0.008407524,0.010248335,-0.005870841
01/03/1924,-0.005140318,-0.003859473,-0.00257874,-0.001297895,-1.71E-05,0.001263683,0.002544639,0.003825372,0.005109394,0.006387062,0.007667795,-0.027559055
01/04/1924,0.028650397,0.025607848,0.022565532,0.019522983,0.016480433,0.013438118,0.010395334,0.007353019,0.004311539,0.001267919,-0.001774396,-0.012145749
01/05/1924,0.024936695,0.025241151,0.025547489,0.025851946,0.026156402,0.02646274,0.026765315,0.027071652,0.027379947,0.027680565,0.027986903,-0.011270492
01/06/1924,-0.000158493,0.001479734,0.00311846,0.004756688,0.006394915,0.008033641,0.009671369,0.011310095,0.012948192,0.01458655,0.016225276,0.006217617
01/07/1924,0.00805933,0.007872942,0.007687432,0.007501043,0.007314655,0.007129145,0.006941878,0.006756368,0.006568979,0.006383591,0.006198081,0.005149331
01/08/1924,-0.00136284,-0.001179909,-0.000998251,-0.00081532,-0.000632389,-0.00045073,-0.000266527,-8.49E-05,9.65E-05,0.000280994,0.000462653,0.006147541
01/09/1924,0.012654735,0.013263409,0.013871404,0.014480077,0.015088751,0.015696746,0.016306098,0.016914093,0.017524281,0.01813144,0.018739435,0.023421589
01/10/1924,0.025462837,0.023147995,0.020834694,0.018519851,0.016205009,0.013891708,0.011575324,0.009262023,0.0069494,0.004632338,0.002319037,-0.004975124
01/11/1924,-0.008717739,-0.006682606,-0.004648422,-0.00261329,-0.000578157,0.001456027,0.003492108,0.005526292,0.007555638,0.009596557,0.011630741,0.01
01/12/1924,-0.008484982,-0.007127889,-0.005770498,-0.004413405,-0.003056311,-0.00169892,-0.000342125,0.001015266,0.00237018,0.003729453,0.005086844,1.36E-16
01/01/1925,0.010785668,0.010214368,0.009642992,0.009071693,0.008500393,0.007929017,0.007357793,0.006786418,0.006213605,0.005643818,0.005072442,0.011881188
01/02/1925,0.009050005,0.009878761,0.010708096,0.011536853,0.01236561,0.013194945,0.014023123,0.014852458,0.01568274,0.016509972,0.017339307,0
01/03/1925,-0.009666223,-0.009079591,-0.008492951,-0.007906319,-0.007319688,-0.006733048,-0.006146424,-0.005559784,-0.004968029,-0.004386521,-0.003799881,-0.022504892
01/04/1925,-0.000398782,8.15E-05,0.000561636,0.001041875,0.001522114,0.002002294,0.002482592,0.002962772,0.003441969,0.00392325,0.004403429,-0.011011011
01/05/1925,-0.002550012,-0.000869188,0.000811583,0.002492407,0.00417323,0.005854001,0.007534878,0.009215649,0.010895296,0.012577296,0.014258067,-0.006072874
01/06/1925,-0.007440847,-0.005514988,-0.0035906,-0.001664741,0.000261119,0.002185506,0.004112838,0.006037225,0.007962592,0.009888944,0.011813332,0.00610998
01/07/1925,0.012917232,0.013188,0.013460705,0.013731473,0.014002241,0.014274946,0.014543777,0.014816482,0.01508909,0.015358018,0.015630723,0
01/08/1925,0.010142265,0.010818337,0.011495597,0.012171668,0.01284774,0.013525,0.014199884,0.014877143,0.015554337,0.016229287,0.016906546,0.006072874
